alpha,th_w_ratio,objective,cost_s
2.0,0.0001,1.1616297221681904,71.49569368362427
2.0,0.000325,3.237093286526105,53.27214026451111
2.0,0.00055,9.24467438462682,84.47943377494812
2.0,0.0007750000000000001,18.277340335328226,105.7309684753418
2.0,0.001,30.25720197644314,139.09573602676392
2.75,0.0001,1.0258927275997352,90.01425743103027
2.75,0.000325,1.0370316554881345,76.13590812683105
2.75,0.00055,,79.52123689651489
2.75,0.0007750000000000001,3.954111688849343,93.13891983032227
2.75,0.001,6.575672273949976,105.97324800491333
3.5,0.0001,1.0884544598425663,112.11209416389465
3.5,0.000325,1.2340812344567338,103.55930042266846
3.5,0.00055,3.532613296291828,148.15174317359924
3.5,0.0007750000000000001,7.008653109675942,182.59144639968872
3.5,0.001,11.656577264971466,191.04783987998962
4.25,0.0001,1.0489789346587488,112.54956388473511
4.25,0.000325,1.7133942879879955,245.10210371017456
4.25,0.00055,4.904178943642551,157.89301300048828
4.25,0.0007750000000000001,9.728417512278666,155.7645137310028
4.25,0.001,16.176899610098033,190.22666311264038
5.0,0.0001,1.036746724801712,143.493976354599
5.0,0.000325,1.8939015086038868,144.23432874679565
5.0,0.00055,5.4199977707031985,270.0147273540497
5.0,0.0007750000000000001,10.749061590202356,796.939334154129
5.0,0.001,17.868290620840646,222.1123161315918
