job_name,depth,fidelity,result
job_alpha0p029_fid0,0.0288177567495789,0.0,6.24342e-05
job_alpha0p016_fid0,0.0162346853592067,0.0,6.1346e-05
job_alpha0p016_fid1,0.0162346853592067,1.0,0.0005097555
job_alpha0p050_fid1,0.05,1.0,0.0004295077
