Iteration_Step,Fidelity_BO,depth_actual,Objective_BO,Objective_Actual,Execution_Time_s
Initial,0.0,0.02261126783874962,6.13646e-05,6.13646e-05,27.64441728591919
Initial,0.0,0.029478872279539523,6.21884e-05,6.21884e-05,44.36217260360718
Initial,0.0,0.0024738579281097348,5.97391e-05,5.97391e-05,27.67780113220215
Initial,0.0,0.00666977774787076,5.99769e-05,5.99769e-05,27.742136240005493
Initial,0.0,0.014932961898454812,6.06009e-05,6.06009e-05,27.704544067382812
Initial,0.0,0.031543341583738345,6.24619e-05,6.24619e-05,46.82345414161682
Initial,0.0,0.01922309471848567,6.1006e-05,6.1006e-05,27.827141046524048
Initial,0.0,0.03710690776261255,6.32546e-05,6.32546e-05,48.05864858627319
Initial,0.0,0.04196968374107729,6.4007e-05,6.4007e-05,50.27115559577942
Initial,0.0,0.046018076032226976,6.46695e-05,6.46695e-05,50.38478112220764
Initial,1.0,0.046018076032226976,-0.00032514165,0.00032514165,202.25325298309326
Initial,1.0,0.0024738579281097348,-0.00024906528,0.00024906528,231.07546138763428
Initial,1.0,0.014932961898454812,-0.0010628359,0.0010628359,179.24904823303223
Initial,1.0,0.029478872279539523,-3.9939565e-05,3.9939565e-05,129.9472472667694
Initial,1.0,0.031543341583738345,-0.0006882496,0.0006882496,333.050354719162
Iter_1,1.0,0.05,-0.00047973983,0.00047973983,145.73762702941895
Iter_2,1.0,0.05,-0.00047973983,0.00047973983,145.49381232261658
Iter_3,1.0,0.05,-0.00047973983,0.00047973983,145.22622418403625
Iter_4,1.0,0.05,-0.00047973983,0.00047973983,145.23807835578918
Iter_5,1.0,0.05,-0.00047973983,0.00047973983,145.0841097831726
Iter_6,1.0,0.05,-0.00047973983,0.00047973983,145.57909226417542
Iter_7,1.0,0.05,-0.00047973983,0.00047973983,147.1566243171692
Iter_8,1.0,0.05,-0.00047973983,0.00047973983,147.3652229309082
Iter_9,1.0,0.05,-0.00047973983,0.00047973983,144.9599940776825
Iter_10,1.0,0.05,-0.00047973983,0.00047973983,145.35198616981506
Iter_11,1.0,0.028021393108776785,-0.0004226478,0.0004226478,158.89560651779175
Iter_12,1.0,0.0373958955961392,-0.0005192061,0.0005192061,179.79538202285767
Iter_13,1.0,0.05,-0.00047973983,0.00047973983,147.25953936576843
Iter_14,1.0,0.001,-0.0001224028,0.0001224028,56.748265504837036
Iter_15,1.0,0.001,-0.0001224028,0.0001224028,56.551849126815796
Recommendation,1.0,0.029525332048820314,-0.0004771448,0.0004771448,233.64966797828674
