Iteration_Step,Fidelity_BO,depth_actual,Objective_BO,Objective_Actual,Execution_Time_s
Initial,0.0,0.03755530446426715,6.36614e-05,6.36614e-05,11.815477132797241
Initial,0.0,0.016924764189072294,6.14056e-05,6.14056e-05,13.450324058532715
Initial,0.0,0.028581931941861788,6.24081e-05,6.24081e-05,11.472822427749634
Initial,0.0,0.004046757982155497,6.05105e-05,6.05105e-05,13.441614866256714
Initial,0.0,0.006105421355821418,6.06225e-05,6.06225e-05,11.516181230545044
Initial,0.0,0.031053543787510653,6.27688e-05,6.27688e-05,13.557209014892578
Initial,0.0,0.040370179993330424,6.40671e-05,6.40671e-05,11.453187465667725
Initial,0.0,0.04992805571113061,6.55827e-05,6.55827e-05,11.646307706832886
Initial,0.0,0.01199573698034339,6.10085e-05,6.10085e-05,13.542770624160767
Initial,0.0,0.024793466429016465,6.21224e-05,6.21224e-05,13.599151372909546
Initial,1.0,0.03755530446426715,-0.000435899,0.000435899,125.41011691093445
Initial,1.0,0.016924764189072294,-0.00046501547,0.00046501547,72.71185684204102
Initial,1.0,0.028581931941861788,-0.00043558958,0.00043558958,101.31028604507446
Initial,1.0,0.01199573698034339,-1.6852917e-06,1.6852917e-06,52.55229997634888
Initial,1.0,0.040370179993330424,-0.0005606514,0.0005606514,149.36656498908997
Iter_1,1.0,0.001,-0.00014481849,0.00014481849,54.63408851623535
Iter_2,1.0,0.001,-0.00014481849,0.00014481849,58.78050374984741
Iter_3,1.0,0.001,-0.00014481849,0.00014481849,54.476019859313965
Iter_4,1.0,0.001,-0.00014481849,0.00014481849,54.89399266242981
Iter_5,1.0,0.001,-0.0001224028,0.0001224028,58.73255777359009
Iter_6,1.0,0.001,-0.0001224028,0.0001224028,58.76238679885864
Iter_7,1.0,0.001,-0.0001224028,0.0001224028,58.76119565963745
Iter_8,1.0,0.001,-0.0001224028,0.0001224028,58.978246212005615
Iter_9,1.0,0.001,-0.0001224028,0.0001224028,58.747987031936646
Iter_10,1.0,0.001,-0.0001224028,0.0001224028,58.67819666862488
Iter_11,1.0,0.001,-0.0001224028,0.0001224028,56.63156008720398
Iter_12,1.0,0.001,-0.0001224028,0.0001224028,57.82670474052429
Iter_13,1.0,0.001,-0.0001224028,0.0001224028,57.126776933670044
Iter_14,1.0,0.001,-0.0001224028,0.0001224028,56.80702185630798
Iter_15,1.0,0.001,-0.0001224028,0.0001224028,56.43510127067566
Recommendation,1.0,0.001,-0.0001224028,0.0001224028,56.85570454597473
