alpha,th_w_ratio,max_amplitude,cost_s
2.0,0.0001,1.1616297221685932,92.34768557548523
2.0,0.00019999999999999998,1.2269823498634866,50.579320192337036
2.0,0.0003,2.7588402843319435,81.4964964389801
2.0,0.00039999999999999996,4.899736183090458,73.0807204246521
2.0,0.0005,7.645981157380973,92.63759517669678
2.0,0.0006000000000000001,10.992855205924588,82.70654773712158
2.0,0.0007,14.93462421297907,94.28169417381287
2.0,0.0007999999999999999,19.464560443157513,103.16045808792114
2.0,0.0009,24.574966412888337,114.61603808403015
2.0,0.001,30.257201976445707,118.6924216747284
2.3333333333333335,0.0001,1.1361492872637529,90.49273133277893
2.3333333333333335,0.00019999999999999998,1.0748330149436762,81.0861976146698
2.3333333333333335,0.0003,1.0482711151729218,75.5266215801239
2.3333333333333335,0.00039999999999999996,1.1154394225343602,53.078360080718994
2.3333333333333335,0.0005,1.7422694183040808,58.65869212150574
2.3333333333333335,0.0006000000000000001,2.507704812080857,82.22718572616577
2.3333333333333335,0.0007,3.4113325831809598,93.85783243179321
2.3333333333333335,0.0007999999999999999,4.452665584814872,84.14877915382385
2.3333333333333335,0.0009,,0.9743027687072754
2.3333333333333335,0.001,,0.015435218811035156
2.6666666666666665,0.0001,,0.019884824752807617
2.6666666666666665,0.00019999999999999998,,0.01448512077331543
2.6666666666666665,0.0003,,0.012506484985351562
2.6666666666666665,0.00039999999999999996,,0.006502389907836914
2.6666666666666665,0.0005,,0.009002447128295898
2.6666666666666665,0.0006000000000000001,,0.011002779006958008
2.6666666666666665,0.0007,,0.009001731872558594
2.6666666666666665,0.0007999999999999999,,0.009401082992553711
2.6666666666666665,0.0009,,0.012018442153930664
2.6666666666666665,0.001,,0.012016773223876953
3.0,0.0001,,0.009505748748779297
3.0,0.00019999999999999998,,0.00900125503540039
3.0,0.0003,,0.010002613067626953
3.0,0.00039999999999999996,,0.01400446891784668
3.0,0.0005,,0.01045370101928711
3.0,0.0006000000000000001,,0.007504940032958984
3.0,0.0007,,0.006001710891723633
3.0,0.0007999999999999999,,0.006001710891723633
3.0,0.0009,,0.00600123405456543
3.0,0.001,,0.00600123405456543
3.333333333333333,0.0001,,0.0050013065338134766
3.333333333333333,0.00019999999999999998,,0.004503726959228516
3.333333333333333,0.0003,,0.00600123405456543
3.333333333333333,0.00039999999999999996,,0.005434751510620117
3.333333333333333,0.0005,,0.0060062408447265625
3.333333333333333,0.0006000000000000001,,0.005503654479980469
3.333333333333333,0.0007,,0.005001544952392578
3.333333333333333,0.0007999999999999999,,0.006001710891723633
3.333333333333333,0.0009,,0.007002353668212891
3.333333333333333,0.001,,0.007002115249633789
3.6666666666666665,0.0001,,0.009001970291137695
3.6666666666666665,0.00019999999999999998,,0.007001161575317383
3.6666666666666665,0.0003,,0.006701231002807617
3.6666666666666665,0.00039999999999999996,,0.00750732421875
3.6666666666666665,0.0005,,0.006024599075317383
3.6666666666666665,0.0006000000000000001,,0.006998538970947266
3.6666666666666665,0.0007,,0.005000591278076172
3.6666666666666665,0.0007999999999999999,,0.004000663757324219
3.6666666666666665,0.0009,,0.0050008296966552734
3.6666666666666665,0.001,,0.0050008296966552734
4.0,0.0001,,0.006001472473144531
4.0,0.00019999999999999998,,0.01869797706604004
4.0,0.0003,,0.0075075626373291016
4.0,0.00039999999999999996,,0.0050013065338134766
4.0,0.0005,,0.0050008296966552734
4.0,0.0006000000000000001,,0.006000995635986328
4.0,0.0007,,0.0050013065338134766
4.0,0.0007999999999999999,,0.0049974918365478516
4.0,0.0009,,0.0050013065338134766
4.0,0.001,,0.005506992340087891
4.333333333333333,0.0001,,0.00500178337097168
4.333333333333333,0.00019999999999999998,,0.00551152229309082
4.333333333333333,0.0003,,0.0055065155029296875
4.333333333333333,0.00039999999999999996,,0.005503654479980469
4.333333333333333,0.0005,,0.006000995635986328
4.333333333333333,0.0006000000000000001,,0.005001068115234375
4.333333333333333,0.0007,,0.006001472473144531
4.333333333333333,0.0007999999999999999,,0.0050008296966552734
4.333333333333333,0.0009,,0.00500178337097168
4.333333333333333,0.001,,0.0050013065338134766
4.666666666666666,0.0001,,0.005097866058349609
4.666666666666666,0.00019999999999999998,,0.006005764007568359
4.666666666666666,0.0003,,0.00650477409362793
4.666666666666666,0.00039999999999999996,,0.006001472473144531
4.666666666666666,0.0005,,0.004998207092285156
4.666666666666666,0.0006000000000000001,,0.005000591278076172
4.666666666666666,0.0007,,0.005506277084350586
4.666666666666666,0.0007999999999999999,,0.00500178337097168
4.666666666666666,0.0009,,0.00400090217590332
4.666666666666666,0.001,,0.0050013065338134766
5.0,0.0001,,0.005001544952392578
5.0,0.00019999999999999998,,0.005687236785888672
5.0,0.0003,,0.005505800247192383
5.0,0.00039999999999999996,,0.005001544952392578
5.0,0.0005,,0.0050013065338134766
5.0,0.0006000000000000001,,0.0050008296966552734
5.0,0.0007,,0.004001140594482422
5.0,0.0007999999999999999,,0.006001472473144531
5.0,0.0009,,0.0050013065338134766
5.0,0.001,,0.0050013065338134766
